board_state,player_turn,best_move_index
 O O XXXO,X,'24'
 O OOX XX,X,'026'
 O OOXX X,X,'27'
 O OOXXX ,X,'8'
 O OX   X,X,'02567'
 O OX  X ,X,'68'
 O OX  XX,O,'0256'
 O OX OXX,X,'0'
 O OX X  ,X,'0278'
 O OX X X,O,'0257'
 O OX XOX,X,'025'
 O OX XX ,O,'0258'
 O OX XXO,X,'2'
 O OXO XX,X,'026'
 O OXOX X,X,'027'
 O OXOXX ,X,'028'
 O OXX   ,X,'28'
 O OXX  X,O,'0267'
 O OXX OX,X,'026'
 O OXX X ,O,'0'
 O OXX XO,X,'26'
 O OXXO X,X,'02'
 O OXXOX ,X,'0'
 O OXXOXX,O,'0'
 O OXXX  ,O,'2'
 O OXXX O,X,'2'
 O OXXXO ,X,'028'
 O OXXXOX,O,'02'
 O OXXXXO,O,'2'
 O X     ,X,'04'
 O X    X,O,'4'
 O X   OX,X,'4'
 O X   X ,O,'68'
 O X   XO,X,'045'
 O X  O X,X,'45'
 O X  OX ,X,'45'
 O X  OXX,O,'2'
 O X  X  ,O,'0'
 O X  X O,X,'0245'
 O X  XO ,X,'04'
 O X  XOX,O,'04'
 O X  XXO,O,'0'
 O X O  X,X,'06'
 O X O X ,X,'6'
 O X O XX,O,'6'
 O X OOXX,X,'04'
 O X OX  ,X,'02478'
 O X OX X,O,'0247'
 O X OXOX,X,'04'
 O X OXX ,O,'0248'
 O X OXXO,X,'02'
 O X X   ,O,'4'
 O X X  O,X,'046'
 O X X O ,X,'4'
 O X X OX,O,'4'
 O X X XO,O,'4'
 O X XO  ,X,'248'
 O X XO X,O,'0247'
 O X XOOX,X,'24'
 O X XOX ,O,'4'
 O X XOXO,X,'4'
 O X XX O,O,'0247'
 O X XXO ,O,'4'
 O X XXOO,X,'04'
 O XO   X,X,'7'
 O XO  X ,X,'6'
 O XO  XX,O,'6'
 O XO OXX,X,'2'
 O XO X  ,X,'07'
 O XO X X,O,'7'
 O XO XX ,O,'0258'
 O XO XXO,X,'0'
 O XOO XX,X,'6'
 O XOOX X,X,'07'
 O XOOXX ,X,'028'
 O XOX   ,X,'02678'
 O XOX  X,O,'27'
 O XOX X ,O,'02'
 O XOX XO,X,'0'
 O XOXO X,X,'2'
 O XOXOX ,X,'2'
 O XOXOXX,O,'2'
 O XOXX  ,O,'07'
 O XOXX O,X,'0'
 O XOXXXO,O,'0'
 O XX    ,O,'025678'
 O XX   O,X,'0256'
 O XX  O ,X,'02568'
 O XX  OX,O,'0256'
 O XX  XO,O,'5'
 O XX O  ,X,'058'
 O XX O X,O,'0257'
 O XX OOX,X,'025'
 O XX OX ,O,'5'
 O XX OXO,X,'5'
 O XX X O,O,'0257'
 O XX XO ,O,'0258'
 O XX XOO,X,'025'
 O XXO   ,X,'06'
 O XXO  X,O,'0'
 O XXO OX,X,'026'
 O XXO X ,O,'2'
 O XXO XO,X,'2'
 O XXOO X,X,'0'
 O XXOOX ,X,'08'
 O XXOOXX,O,'0'
 O XXOX  ,O,'0278'
 O XXOX O,X,'02'
 O XXOXO ,X,'028'
 O XXOXOX,O,'02'
 O XXOXXO,O,'2'
 OO    XX,X,'06'
 OO   X X,X,'07'
 OO   XX ,X,'08'
 OO  X  X,X,'03467'
 OO  X X ,X,'0'
 OO  X XX,O,'06'
 OO  XOXX,X,'034'
 OO  XX  ,X,'0'
 OO  XX X,O,'07'
 OO  XXOX,X,'034'
 OO  XXX ,O,'0'
 OO  XXXO,X,'0'
 OO OX XX,X,'6'
 OO OXX X,X,'7'
 OO OXXX ,X,'08'
 OO X   X,X,'0'
 OO X  X ,X,'0'
 OO X  XX,O,'0'
 OO X OXX,X,'0'
 OO X X  ,X,'0'
 OO X X X,O,'0'
 OO X XOX,X,'0'
 OO X XX ,O,'08'
 OO X XXO,X,'035'
 OO XO XX,X,'06'
 OO XOX X,X,'07'
 OO XOXX ,X,'8'
 OO XX   ,X,'03'
 OO XX  X,O,'0'
 OO XX OX,X,'03'
 OO XX X ,O,'0'
 OO XX XO,X,'3'
 OO XXO X,X,'03'
 OO XXOX ,X,'03'
 OO XXOXX,O,'0'
 OO XXX  ,O,'0'
 OO XXX O,X,'3'
 OO XXXO ,X,'03'
 OO XXXOX,O,'0'
 OO XXXXO,O,'0'
 OOO X XX,X,'06'
 OOO XX X,X,'07'
 OOO XXX ,X,'8'
 OOOX  XX,X,'06'
 OOOX X X,X,'07'
 OOOX XX ,X,'8'
 OOOXX  X,X,'0'
 OOOXX X ,X,'0'
 OOOXX XX,O,'0'
 OOOXXOXX,X,'0'
 OOOXXX  ,X,'0'
 OOOXXX X,O,'0'
 OOOXXXOX,X,'0'
 OOOXXXX ,O,'0'
 OOOXXXXO,X,'0'
 OOX    X,X,'0'
 OOX   X ,X,'0'
 OOX   XX,O,'06'
